Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
CF,60015,Basic Materials,2970,"CF Industries Holdings, Inc. manufactures and sells hydrogen and nitrogen products for energy, fertilizer, emissions abatement, and other industrial activities worldwide. Its principal products include anhydrous ammonia, granular urea, urea ammonium nitrate, and ammonium nitrate products. The company also offers diesel exhaust fluid, urea liquor, nitric acid, and aqua ammonia products; and compound fertilizer products with nitrogen, phosphorus, and potassium. It primarily serves cooperatives, independent fertilizer distributors, traders, wholesalers, and industrial users. The company was founded in 1946 and is headquartered in Deerfield, Illinois.",Deerfield,847 405 2400,IL,United States,[],https://www.cfindustries.com,1,4 Parkway North,Agricultural Inputs,0.54223,0.1973,0.45417,3686000128,1.737,0.43550998,4531999744,73,hold,2387000000,2771375104,105,101.53,5.014,1.717,0.17639999,19,107.32,54.82,0.34388,132,2616999936,3702000128,8358000128,12.545,USD,39.161,1.479,2.6,NYQ,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",America/New_York,EDT,True,-14400000,EQUITY,CF,finmb_22357184,us_market,,2.842,,5.242,,,2.37,,214475008,,,,13.657,6566160,0.0315,,1640908800,0.94088,1648999936,1.47,,,7.434283,0.004,1703980800,,1648684800,1.77,1655251200,207598346,1.057471,23755378688,2,,1434585600,5:1,,,,4.848,2.6053658,1657843200,1.37,,42.839664,,0.040799998,8601464,,,,101.7,103.12,89.48985,0.011799411,0.1548,,104.34,,2971920,101.7,99.825,1.2,103.12,,2971920,,,1.6,1660262400,,,101.4,USD,69.06802,1443803,,,,21775646720,,,2617896,101.4,104.3,800,1443803,119.6,,2.75,52.72,0,False,0.0168,800,104.34,,101.53,101.35,https://logo.clearbit.com/cfindustries.com,
CFG,02903,Financial Services,19583,"Citizens Financial Group, Inc. operates as the bank holding company for Citizens Bank, National Association that provides retail and commercial banking products and services to individuals, small businesses, middle-market companies, corporations, and institutions in the United States. The company operates in two segments, Consumer Banking and Commercial Banking. The Consumer Banking segment offers deposit products, mortgage and home equity lending products, credit cards, business loans, wealth management, and investment services; and auto, education, and point-of-sale finance loans, as well as digital deposit products. This segment serves its customers through telephone service centers, as well as through its online and mobile platforms. The Commercial Banking segment provides various financial products and solutions, including lending and leasing, deposit and treasury management services, foreign exchange, and interest rate and commodity risk management solutions, as well as syndicated loans, corporate finance, mergers and acquisitions, and debt and equity capital markets services. This segment serves government banking, not-for-profit, healthcare, technology, professionals, oil and gas, asset finance, franchise finance, asset-based lending, commercial real estate, private equity, and sponsor finance industries. It operates approximately 1,200 branches in 14 states and the District of Columbia; 114 retail and commercial non-branch offices in national markets; and approximately 3,300 automated teller machines. The company was formerly known as RBS Citizens Financial Group, Inc. and changed its name to Citizens Financial Group, Inc. in April 2014. Citizens Financial Group, Inc. was founded in 1828 and is headquartered in Providence, Rhode Island.",Providence,203 900 6715,RI,United States,[],https://www.citizensbank.com,1,One Citizens Plaza,Banks—Regional,0,0.26227,0,,0.058,0.387,,33,buy,7058000000,,46,35.15,-0.535,,0.00895,18,46.61,,0.0776,56,8652000256,19207000064,7031000064,17.456,USD,15.934,,2,NYQ,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",America/New_York,EDT,True,-14400000,EQUITY,CFG,finmb_46051729,us_market,,4.464,,,,,4.18,,426200000,,,,48.571,7824343,0.015800001,,1640908800,0.85247004,1730000000,3.562,,,0.7236829,0.0040599997,1703980800,,1656547200,1.62,1655251200,492755661,1.417198,31388839936,2,,,,,,,-0.438,2.130697,1657843200,4.2,,8.409092,,0.0176,7510731,,,,36.49,36.62,43.21375,0.042751435,0.3969,,36.81,,4217360,36.49,37.5288,1.56,36.62,,4217360,,,1.68,1659312000,,,35.13,USD,9.868052,4068604,,,,14980930560,,,3949634,35.13,41,1800,4068604,57,,3.51,34.345,0,False,0.0442,3200,36.81,,35.15,,https://logo.clearbit.com/citizensbank.com,
CHD,08628,Consumer Defensive,5100,"Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products. It operates through three segments: Consumer Domestic, Consumer International, and Specialty Products Division. The company offers cat litters, carpet deodorizers, laundry detergents, and baking soda, as well as other baking soda based products under the ARM & HAMMER brand; condoms, lubricants, and vibrators under the TROJAN brand; stain removers, cleaning solutions, laundry detergents, and bleach alternatives under the OXICLEAN brand; battery-operated and manual toothbrushes under the SPINBRUSH brand; home pregnancy and ovulation test kits under the FIRST RESPONSE brand; depilatories under the NAIR brand; oral analgesics under the ORAJEL brand; laundry detergents under the XTRA brand; gummy dietary supplements under the L'IL CRITTERS and VITAFUSION brands; dry shampoos under the BATISTE brand; water flossers and replacement showerheads under the WATERPIK brand; FLAWLESS products; cold shortening and relief products under the ZICAM brand; and oral care products under the THERABREATH brand. Its specialty products include animal productivity products, such as MEGALAC rumen bypass fat, a supplement that enables cows to maintain energy levels during the period of high milk production; BIO-CHLOR and FERMENTEN, which are used to reduce health issues associated with calving, as well as provides needed protein; and CELMANAX refined functional carbohydrate, a yeast-based prebiotic. The company offers sodium bicarbonate; and cleaning and deodorizing products. It sells its consumer products through supermarkets, mass merchandisers, wholesale clubs, drugstores, convenience stores, home stores, dollar and other discount stores, pet and other specialty stores, and websites and other e-commerce channels; and specialty products to industrial customers and livestock producers through distributors. The company was founded in 1846 and is headquartered in Ewing, New Jersey.",Ewing,609 806 1200,NJ,United States,[],https://churchdwight.com,1,Princeton South Corporate Center,Household & Personal Products,0.22075,0.1471,0.42588,959900032,0.042,0.18465,1170499968,78,hold,2263500000,653100032,99,75.2,-0.126,1.014,0.07739,15,98.2,83.913,0.22506,120,639699968,2982599936,5302400000,2.633,USD,21.767,0.605,2.9,NYQ,"Church & Dwight Company, Inc.","Church & Dwight Co., Inc.",America/New_York,EDT,True,-14400000,EQUITY,CHD,finmb_261105,us_market,,4.472,,20.258,,,3.27,,250000000,,,,13.098,4152677,0.0171,,1640908800,0.86335,780000000,3.08,,,5.7413344,0.0017499999,1703980800,,1656547200,2.62,1655251200,242297234,0.390804,23711637504,2,,1472774400,2:1,,,,-0.143,3.5455642,1657843200,4.19,,22.99694,,0.0194,4499165,,,,74.69,74.39,94.4319,0.013027178,0.31190002,,75.65,,1633500,74.69,86.372,0.973,74.39,,1633500,,,1.05,1660262400,,,74.16,USD,24.415585,1352845,,,,18799998976,,,1510458,74.16,76.75,800,1352845,105.28,,1.27,74.16,73.6,False,0.0119,800,75.65,,75.2,,https://logo.clearbit.com/churchdwight.com,
CHRW,55347-5076,Industrials,18146,"C.H. Robinson Worldwide, Inc., together with its subsidiaries, provides freight transportation services and logistics solutions to companies in various industries worldwide. The company operates in two segments, North American Surface Transportation and Global Forwarding. It offers transportation and logistics services, such as truckload; less than truckload transportation brokerage services, which include the shipment of single or multiple pallets of freight; intermodal transportation that comprise the shipment service of freight in containers or trailers by a combination of truck and rail; and non-vessel ocean common carrier and freight forwarding services, as well as organizes air shipments and provides door-to-door services. The company also offers customs broker services; and other logistics services, such as fee-based managed, warehousing, small parcel, and other services. It has contractual relationships with approximately 85,000 transportation companies, including motor carriers, railroads, and air and ocean carriers. In addition, the company is involved in buying, selling, and/or marketing of fresh produce, including fresh fruits, vegetables, and other value-added perishable items under the Robinson Fresh name. Further, it provides transportation management services or managed TMS; and other surface transportation services. The company offers its fresh produce to grocery retailers, restaurants, produce wholesalers, and foodservice distributors through a network of independent produce growers and suppliers. C.H. Robinson Worldwide, Inc. was founded in 1905 and is headquartered in Eden Prairie, Minnesota.",Eden Prairie,952 937 8500,MN,United States,[],https://www.chrobinson.com,1,14701 Charlson Road,Integrated Freight & Logistics,0.05592,0.04153,0.074310005,253686000,0.229,0.053579997,1475206016,66,hold,1608479000,63397376,111.5,100.34,0.854,1.483,0.13219,22,110.86,127.755,0.55357,135,238924992,2622060032,26379970560,1.929,USD,202.515,1.452,2.7,NMS,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",America/New_York,EDT,True,-14400000,EQUITY,CHRW,finmb_368470,us_market,,0.61,,10.912,,,5.04,,129987000,,,,14.021,9879755,0.0776,,1640908800,0.96252,1095683968,4.429,,,7.156408,0.00746,1703980800,,1656547200,8.49,1655251200,123604562,0.74074,16097015808,2,,1129507200,2:1,,,,0.797,0.49442416,1657843200,2.32,,19.90873,,0.1074,10431377,,,,101.47,101.16,104.6021,0.020104464,0.2599,,101.18,,1512660,101.47,109.9218,2.04,101.16,,1512660,,,2.2,1654128000,,,100.13,USD,22.655226,875951,,,,13042894848,,,1221668,100.13,0,800,875951,121.23,,2.23,85.8,0,False,0.0199,1000,101.18,,100.34,,https://logo.clearbit.com/chrobinson.com,
CHTR,06902,Communication Services,93700,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based video services, including video on demand, high-definition television, digital video recorder, pay-per-view services. It provides Internet services, such as security suite that protects computers from viruses and spyware, and threats from malicious actors; in-home WiFi, which provides customers with high performance wireless routers to enhance their in-home wireless Internet experience; out-of-home WiFi; and Spectrum WiFi services, as well as video services. The company also offers voice communications services using voice over Internet protocol technology; and broadband communications solutions, such as Internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, it provides mobile services; offers video programming, static IP and business WiFi, email and security, and multi-line telephone services, as well as Web-based service management; sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App for optimizes linear inventory. Further, the company offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports and news networks. It serves approximately 32 million customers in 41 states. The company was founded in 1993 and is headquartered in Stamford, Connecticut.",Stamford,203 905 7801,CT,United States,[],https://corporate.charter.com,1,400 Washington Boulevard,Telecom Services,0.40633,0.10349,0.45433998,15870000128,0.062,0.23544,21599000576,379,buy,23271000000,7533000192,585,333.96,0.665,0.328,0.05445,27,602.26,710.434,0.33714,805,483000000,96000999424,53155999744,2.944,USD,307.221,0.286,2.5,NMS,"Charter Communications, Inc.","Charter Communications, Inc.",America/New_York,EDT,True,-14400000,EQUITY,CHTR,finmb_19609,us_market,,3.199,,7.872,,,28.25,,179291008,,,,111.292,7346733,0.0438,,1640908800,0.59808,5501000192,17.693,,,3.0007546,0.29514,1703980800,,1656547200,6.35,1655251200,109844344,1.013197,170037837824,2,,1463529600,0:1,,,,0.442,1.1264209,1657843200,0.46,,11.821592,,0.0642,7965179,,,,353.03,352.03,518.1272,,0,,352.93,,1647660,353.03,435.1384,,352.03,,1647660,,,,,,,331.54,USD,18.87526,2058499,,,,59876024320,,,1217987,331.54,0,1200,2058499,753.69,,,331.54,0,False,,1200,352.93,,333.96,,https://logo.clearbit.com/corporate.charter.com,
CI,06002,Healthcare,72226,"Cigna Corporation provides insurance and related products and services in the United States. Its Evernorth segment provides a range of coordinated and point solution health services, including pharmacy, benefits management, care delivery and management, and intelligence solutions to health plans, employers, government organizations, and health care providers. The company's Cigna Healthcare segment offers medical, pharmacy, behavioral health, dental, vision, health advocacy programs, and other products and services for insured and self-insured customers; Medicare Advantage, Medicare Supplement, and Medicare Part D plans for seniors, as well as individual health insurance plans to on and off the public exchanges; and health care coverage in its international markets, as well as health care benefits for mobile individuals and employees of multinational organizations. The company also offers permanent insurance contracts sold to corporations to provide coverage on the lives of certain employees for financing employer-paid future benefit obligations. It distributes its products and services through insurance brokers and consultants; directly to employers, unions and other groups, or individuals; and private and public exchanges. The company was founded in 1792 and is headquartered in Bloomfield, Connecticut.",Bloomfield,860 226 6000,CT,United States,[],https://www.cigna.com,1,900 Cottage Grove Road,Healthcare Plans,0.05708,0.030439999,0.13013,8128000000,0.066,0.04689,10101999616,230,buy,23159000000,2813374976,298,282.9,0.115,0.811,0.03405,24,294.5,73.102,0.11532,330,5154999808,33746999296,176987996160,16.248,USD,535.481,0.485,2.1,NYQ,Cigna Corporation,Cigna Corporation,America/New_York,EDT,True,-14400000,EQUITY,CI,finmb_172899,us_market,,0.656,,11.486,,,22.84,,331428000,,,,141.841,7892662,0.0249,,1640908800,0.90958,5386999808,22.96,,,1.9944867,0.01526,1703980800,,1648684800,3.52,1655251200,315909176,0.745849,116033421312,2,,1181001600,3:1,,,,0.019,0.529759,1657843200,1.05,,12.386165,,0.025,3593410,,,,284.95,284.76,253.96965,0.0001403755,0.2557,,285.36,,2323640,284.95,282.9078,0.04,284.76,,2323640,,,4.48,1662422400,,,281.37,USD,12.321429,1128942,,,,93760978944,,,1999336,281.37,284.48,2200,1128942,296.29,,0.37,191.74,0,False,0.0163,1000,285.36,,282.9,,https://logo.clearbit.com/cigna.com,
CINF,45014-5141,Financial Services,5166,"Cincinnati Financial Corporation, together with its subsidiaries, provides property casualty insurance products in the United States. The company operates through five segments: Commercial Lines Insurance, Personal Lines Insurance, Excess and Surplus Lines Insurance, Life Insurance, and Investments. The Commercial Lines Insurance segment offers coverage for commercial casualty, commercial property, commercial auto, and workers' compensation. It also provides director and officer liability insurance, contract and commercial surety bonds, and fidelity bonds; and machinery and equipment coverage. The Personal Lines Insurance segment offers personal auto insurance; homeowner insurance; and dwelling fire, inland marine, personal umbrella liability, and watercraft coverages to individuals. The Excess and Surplus Lines Insurance segment offers commercial casualty insurance that covers businesses for third-party liability from accidents occurring on their premises or arising out of their operations, such as injuries sustained from products; and commercial property insurance, which insures buildings, inventory, equipment, and business income from loss or damage due to various causes, such as fire, wind, hail, water, theft, and vandalism. The Life Insurance segment provides term life insurance products; universal life insurance products; worksite products, such as term life; and whole life insurance products. The Investments segment invests in fixed-maturity investments, including taxable and tax-exempt bonds, and redeemable preferred stocks; and equity investments comprising common and nonredeemable preferred stocks. The company also offers commercial leasing and financing services; and insurance brokerage services. Cincinnati Financial Corporation was founded in 1950 and is headquartered in Fairfield, Ohio.",Fairfield,513 870 2000,OH,United States,[],https://www.cinfin.com,1,6200 South Gilmore Road,Insurance—Property & Casualty,0.11018,0.07588,0.110039994,,-0.643,0.09548,787000000,101,hold,3827000000,,119,92.99,,1.064,0.014479999,4,118.5,7.969,0.04837,135,1098000000,841000000,7143000064,6.876,USD,44.537,0.926,2.8,NMS,Cincinnati Financial Corporatio,Cincinnati Financial Corporation,America/New_York,EDT,True,-14400000,EQUITY,CINF,finmb_260681,us_market,,2.14,,19.424,,,4.41,,161140992,,,,69.18,3202686,0.02,,1640908800,0.67759,542000000,18.854,,,1.3441746,0.019019999,1703980800,,1656547200,3.7,1655251200,154671320,0.69008,15286620160,2,,1112572800,105:100,,,,,2.097788,1657843200,1.32,,21.086168,,0.023,2731224,,,,94.5,94.86,117.99625,0.025714286,0.8224,,95.01,,1076940,94.5,101.9728,2.43,94.86,,1076940,,,2.76,1655337600,,,92.755,USD,4.93211,898827,,,,14984500224,,,874282,92.755,0,1400,898827,143.22,,2.51,92.755,0,False,0.028399998,900,95.01,,92.99,,https://logo.clearbit.com/cinfin.com,
CL,10022-7499,Consumer Defensive,33800,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide. The company operates through two segments, Oral, Personal and Home Care; and Pet Nutrition. The Oral, Personal and Home Care segment offers toothpaste, toothbrushes, mouthwash, bar and liquid hand soaps, shower gels, shampoos, conditioners, deodorants and antiperspirants, skin health products, dishwashing detergents, fabric conditioners, household cleaners, and other related items. This segment markets and sells its products under various brands, which include Colgate, Darlie, elmex, hello, meridol, Sorriso, Tom's of Maine, Irish Spring, Palmolive, Protex, Sanex, Softsoap, Lady Speed Stick, Speed Stick, EltaMD, Filorga, PCA SKIN, Ajax, Axion, Fabuloso, Murphy, Suavitel, Soupline, and Cuddly to a range of traditional and eCommerce retailers, wholesalers, and distributors. It also includes pharmaceutical products for dentists and other oral health professionals. The Pet Nutrition segment offers pet nutrition products for everyday nutritional needs under the Hill's Science Diet brand; and a range of therapeutic products to manage disease conditions in dogs and cats under the Hill's Prescription Diet brand. This segment markets and sells its products through pet supply retailers, veterinarians, and eCommerce retailers. Colgate-Palmolive Company was founded in 1806 and is headquartered in New York, New York.",New York,212 310 2000,NY,United States,[],https://www.colgatepalmolive.com,1,300 Park Avenue,Household & Personal Products,0.23684,0.10983,0.58237,3014000128,0.053,0.20531,4192000000,65,hold,10375000000,1917750016,82,75.36,-0.133,1.174,0.14325,18,81,1431.362,2.9732401,90,1057000000,7986999808,17699999744,1.267,USD,21.05,0.58,2.8,NYQ,Colgate-Palmolive Company,Colgate-Palmolive Company,America/New_York,EDT,True,-14400000,EQUITY,CL,finmb_53837907,us_market,,4.124,,17.414,,,3.5,,842849024,,,,0.31,10056690,0.012,,1640908800,0.81539,1944000000,3.11,,,243.09677,0.00103,1703980800,,1656547200,2.17,1655251200,783530784,0.504469,72998625280,2,,1368662400,2:1,,,,-0.142,3.588537,1657843200,7.28,,21.53143,,0.0128,12629202,,,,74.9,74.85,79.08955,0.023497997,0.7469,,75.73,,4787010,74.9,78.8604,1.76,74.85,,4787010,,,1.88,1658275200,,,74.71,USD,24.231512,3134869,,,,63517102080,,,4252684,74.71,75.9,900,3134869,85.61,,2.35,72.2,74.86,False,0.0239,1400,75.73,,75.36,75.36,https://logo.clearbit.com/colgatepalmolive.com,
CLX,94612-1888,Consumer Defensive,9000,"The Clorox Company manufactures and markets consumer and professional products worldwide. It operates through four segments: Health and Wellness, Household, Lifestyle, and International. The Health and Wellness segment offers cleaning products, such as laundry additives and home care products primarily under the Clorox, Clorox2, Scentiva, Pine-Sol, Liquid-Plumr, Tilex, and Formula 409 brand names; professional cleaning and disinfecting products under the CloroxPro, Clorox Healthcare, and Clorox Total 360 brand names; professional food service products under the Hidden Valley brand name; and vitamins, minerals and supplement products under the RenewLife, Natural Vitality, NeoCell, and Rainbow Light brand names in the United States. The Household segment provides cat litter products under the Fresh Step, Scoop Away, and Ever Clean brand names; bags and wraps under the Glad brand name; and grilling products under the Kingsford and Kingsford Match Light brand names in the United States. The Lifestyle segment offers dressings, dips, seasonings, and sauces primarily under the Hidden Valley brand name; natural personal care products under the Burt's Bees brand name; and water-filtration systems and filters under the Brita brand name in the United States. The International segment provides laundry additives; home care products; water-filtration systems and filters; digestive health products; grilling products; cat litter products; food products; bags and wraps; natural personal care products; and professional cleaning and disinfecting products internationally primarily under the Clorox, Ayudin, Clorinda, Poett, Pine-Sol, Glad, Brita, RenewLife, Ever Clean and Burt's Bees brand names. The Clorox Company sells its products primarily through mass retailers, grocery outlets, warehouse clubs, dollar stores, home hardware centers, third-party and owned e-commerce channels, military stores, and distributors, as well as a direct sales force. The company was founded in 1913 and is headquartered in Oakland, California.",Oakland,510 271 7000,CA,United States,[],https://www.thecloroxcompany.com,1,1221 Broadway,Household & Personal Products,0.12141,0.06443,0.35805,834000000,0.016,0.09116,863000000,114,hold,3199000000,373249984,135,141.28,,0.707,0.06346,15,135.27,563.021,0.61691004,165,304000000,3243000064,7107999744,2.47,USD,57.633,0.365,3.5,NYQ,Clorox Company (The),The Clorox Company,America/New_York,EDT,True,-14400000,EQUITY,CLX,finmb_89450,us_market,,2.894,,23.839,,,7.73,,122863000,,,,5.975,7454283,0.060599998,,1625011200,0.80497,458000000,7.197,,,23.64519,0.00834,1688083200,,1648684800,5.11,1655251200,122763677,0.178373,20572665856,2,,935452800,2:1,,,,,2.442049,1657843200,-5.5,,18.276844,,0.0692,7430173,,,,141.97,141.47,149.34995,0.031274214,1.2372,,142.21,,926600,141.97,145.29,4.44,141.47,,926600,,,4.72,1658793600,,,140.8,USD,19.630402,614840,,,,17358084096,,,1068261,140.8,0,800,614840,186.86,,2.52,120.5,122.15,False,0.033299997,1300,142.21,,141.28,,https://logo.clearbit.com/thecloroxcompany.com,
CMA,75201,Financial Services,7436,"Comerica Incorporated, through its subsidiaries, provides various financial products and services. It operates through Commercial Bank, Retail Bank, Wealth Management, and Finance segments. The Commercial Bank segment offers various products and services, including commercial loans and lines of credit, deposits, cash management, capital market products, international trade finance, letters of credit, foreign exchange management services, and loan syndication services for small and middle market businesses, multinational corporations, and governmental entities. The Retail Bank segment provides personal financial services, such as consumer lending, consumer deposit gathering, and mortgage loan origination. This segment also offers various consumer products that include deposit accounts, installment loans, credit cards, student loans, home equity lines of credit, and residential mortgage loans, as well as commercial products and services to micro-businesses. The Wealth Management segment provides products and services comprising fiduciary, private banking, retirement, investment management and advisory, and investment banking and brokerage services. This segment also sells annuity products, as well as life, disability, and long-term care insurance products. The Finance segment engages in the securities portfolio, and asset and liability management activities. It operates in Texas, California, Michigan, Arizona, Florida, Canada, and Mexico. The company was formerly known as DETROITBANK Corporation and changed its name to Comerica Incorporated in July 1982. Comerica Incorporated was founded in 1849 and is headquartered in Dallas, Texas.",Dallas,214 462 6831,TX,United States,[],https://www.comerica.com,1,Comerica Bank Tower,Banks—Regional,0,0.30302998,0,279000000,-0.074,0.39813,,77,buy,3351000000,,92.5,76.16,-0.172,,0.010729999,20,93.11,,0.13086,117,8816000000,3203000064,3102000128,67.39,USD,23.589,,2.2,NYQ,Comerica Incorporated,Comerica Incorporated,America/New_York,EDT,True,-14400000,EQUITY,CMA,finmb_318670,us_market,,1.597,,,,,5.27,,131149000,,,,55.579,2483089,0.019,,1640908800,0.81341004,913000000,6.14,,,1.3703018,0.00603,1703980800,,1656547200,2.26,1655251200,130246779,1.349084,4954853376,2,,891475200,3:2,,,,-0.204,3.2199574,1657843200,-0.88,,14.451613,,0.0216,2396832,,,,77.75,78.26,84.98315,0.03498392,0.3953,,78.26,,1496160,77.75,80.3106,2.72,78.26,,1496160,,,2.72,1663113600,,,75.54,USD,12.40391,798679,,,,9988307968,,,1005025,75.54,0,1000,798679,102.09,,3.49,70.71,0,False,0.035,800,78.26,,76.16,,https://logo.clearbit.com/comerica.com,
CMCSA,19103-2838,Communication Services,189000,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Media, Studios, Theme Parks, and Sky segments. The Cable Communications segment offers broadband, video, voice, wireless, and other services to residential and business customers under the Xfinity brand; and advertising services. The Media segment operates NBCUniversal's television and streaming platforms, including national, regional, and international cable networks, the NBC and Telemundo broadcast, and Peacock networks. The Studios segment operates NBCUniversal's film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. The Sky segment offers direct-to-consumer services, such as video, broadband, voice and wireless phone services, and content business operates entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",Philadelphia,215 286 1700,PA,United States,[],https://corporate.comcast.com,1,One Comcast Center,Telecom Services,0.29823,0.115380004,0.67342,27373000704,0.051,0.18254,36282998784,40,buy,77935000000,10681124864,49.25,32.47,-0.05,0.877,0.051030003,32,51.48,106.062,0.14338,70,6822000128,98713001984,121659998208,1.546,USD,26.865,0.681,2.3,NMS,Comcast Corporation,Comcast Corporation,America/New_York,EDT,True,-14400000,EQUITY,CMCSA,finmb_173341,us_market,,2.13,,7.142,,,3.69,,4559479808,,,,20.151,68065265,0.0152,,1640908800,0.86625,14037000192,2.53,,,1.6113346,0.00675,1703980800,,1656547200,2.91,1655251200,4372636562,0.985525,259120709632,2,,1487635200,2:1,,,,-0.091,1.2194053,1657843200,0.99,,8.7994585,,0.0153,75154492,,,,32.7,32.6,43.69725,0.028746177,0.3388,,32.915,,31902920,32.7,37.8066,0.94,32.6,,31902920,,,1.08,1664841600,,,32.3,USD,12.833993,23165822,,,,148352843776,,,23849455,32.3,0,4000,23165822,57.96,,1.93,32.3,0,False,0.028800001,36100,32.915,,32.47,32.21,https://logo.clearbit.com/corporate.comcast.com,
CME,60606,Financial Services,3480,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options products based on interest rates, equity indexes, foreign exchange, agricultural commodities, energy, and metals, as well as fixed income products. The company also provides clearing house services, including clearing, settling, and guaranteeing futures and options contracts, and cleared swaps products traded through its exchanges; and trade processing and risk mitigation services. In addition, the company offers a range of market data services, including real-time and historical data services. It serves professional traders, financial institutions, institutional and individual investors, corporations, manufacturers, producers, governments, and central banks. The company was formerly known as Chicago Mercantile Exchange Holdings Inc. and changed its name to CME Group Inc. in July 2007. CME Group Inc. was founded in 1898 and is headquartered in Chicago, Illinois.",Chicago,312 930 1000,IL,United States,[],https://www.cmegroup.com,1,20 South Wacker Drive,Financial Data & Stock Exchanges,0.65996003,0.60556,1,,0.051,0.58243,3188000000,168,buy,4679300000,,228.5,183.33,0.282,1.018,0.0099,14,226,12.273,0.10677,270,1974599936,3436699904,4830600192,5.506,USD,13.473,0.018,2.4,NMS,CME Group Inc.,CME Group Inc.,America/New_York,EDT,True,-14400000,EQUITY,CME,finmb_2004577,us_market,,15.113,,22.9,,,7.31,,359396000,,,,74.07,2998040,0.0083,,1640908800,0.89011,2888499968,5.33,,,2.4750912,0.00438,1703980800,,1656547200,2.09,1655251200,357303269,0.438058,73003802624,2,,1343001600,5:1,,,,0.298,13.639841,1657843200,3.34,,25.079344,,0.0084,3269305,,,,182.03,183.2,216.91895,0.018952921,0.472,,184.79,,1393070,182.03,198.6034,3.45,183.2,,1393070,,,4,1654732800,,,181.29,USD,34.395874,1244176,,,,65888620544,,,1305212,181.29,0,1000,1244176,256.94,,1.68,181.29,0,False,0.0201,1200,184.79,,183.33,,https://logo.clearbit.com/cmegroup.com,
